step,loss,acc,lr,elapsed_s,ring_norm,ring_signal_norm_0,hidden_norm_0,alpha_0_mean,ptr_pos_0,mp_gate_0_head0,mp_gate_0_head1,mp_gate_0_head2,mp_gate_0_head3,mp_gate_entropy_0
170,5.438944,0.0356,0.001000,277.8,610.11,26.31,14.46,0.7377,143.41,0.9268,0.0279,0.0210,0.0243,0.3410
180,5.230982,0.0899,0.001000,293.7,606.29,25.50,14.61,0.8088,171.66,0.9017,0.0299,0.0159,0.0525,0.4183
190,5.680445,0.0024,0.001000,310.3,587.19,23.21,15.07,0.7962,158.73,0.7955,0.0380,0.0246,0.1419,0.6737
200,5.401340,0.0419,0.001000,326.6,586.74,22.96,15.31,0.8116,119.59,0.4464,0.1723,0.0810,0.3003,1.2256
210,5.430852,0.0357,0.001000,342.8,581.47,23.25,14.61,0.8181,119.65,0.1559,0.6562,0.0542,0.1336,0.9902
220,5.112251,0.1149,0.001000,359.0,600.67,23.65,15.28,0.8162,115.99,0.0733,0.8885,0.0120,0.0263,0.4385
230,5.052202,0.1621,0.001000,375.9,643.28,25.83,14.69,0.8020,95.91,0.0596,0.9081,0.0099,0.0223,0.3847
240,5.707836,0.0049,0.001000,392.9,672.77,27.42,15.14,0.7976,184.08,0.4237,0.4698,0.0409,0.0657,1.0199
250,5.187131,0.1225,0.001000,409.5,677.64,28.69,15.00,0.7861,92.05,0.7909,0.1216,0.0283,0.0592,0.7060
260,5.743490,0.0042,0.001000,426.1,679.94,29.42,14.07,0.7933,187.78,0.8022,0.0939,0.0374,0.0665,0.6982
270,4.855776,0.1959,0.001000,442.6,683.91,30.02,14.27,0.7892,98.24,0.8242,0.0821,0.0362,0.0574,0.6455
280,5.185197,0.1392,0.001000,459.2,689.19,30.48,14.65,0.7639,133.46,0.8207,0.0943,0.0302,0.0547,0.6470
290,5.270741,0.1092,0.001000,475.4,689.66,31.05,13.84,0.7508,106.01,0.8164,0.0828,0.0404,0.0605,0.6677
300,5.440431,0.0147,0.001000,491.7,686.59,31.01,14.43,0.7823,130.40,0.8317,0.0808,0.0358,0.0517,0.6248
310,5.107875,0.1479,0.001000,508.3,680.26,31.28,14.11,0.7352,129.19,0.5456,0.1535,0.1396,0.1613,1.1835
320,5.432163,0.0230,0.001000,525.1,668.76,31.41,13.81,0.7744,122.60,0.3055,0.1635,0.3109,0.2201,1.3461
330,4.470889,0.2781,0.001000,541.4,658.55,31.61,14.44,0.7663,146.67,0.2539,0.1605,0.4273,0.1584,1.2848
340,5.623205,0.0072,0.001000,557.6,649.36,30.77,13.53,0.7653,126.81,0.2813,0.1354,0.4420,0.1414,1.2590
350,4.725729,0.2079,0.001000,573.8,642.25,31.26,14.00,0.7739,142.86,0.1660,0.0880,0.6679,0.0780,0.9729
360,4.231295,0.3374,0.001000,590.1,641.24,31.29,14.44,0.7576,152.81,0.1122,0.0739,0.7548,0.0591,0.8025
370,5.411054,0.0236,0.001000,606.6,641.29,31.57,13.90,0.7617,141.03,0.1059,0.0665,0.7670,0.0606,0.7843
380,5.124861,0.1439,0.001000,623.2,635.99,31.46,14.13,0.7416,91.40,0.1481,0.0867,0.6798,0.0854,0.9544
390,5.644909,0.0023,0.001000,639.6,631.28,31.61,14.26,0.7690,124.43,0.1756,0.1055,0.6072,0.1117,1.0768
400,3.786805,0.4123,0.001000,656.9,625.53,31.71,13.76,0.7660,159.31,0.2573,0.1159,0.4551,0.1716,1.2492
410,5.130094,0.0404,0.001000,673.6,621.88,31.52,13.37,0.7716,131.57,0.2788,0.1376,0.3708,0.2128,1.3165
420,5.389299,0.0400,0.001000,690.3,619.79,31.97,13.53,0.7887,139.22,0.2315,0.1345,0.4025,0.2316,1.3092
430,4.773489,0.1721,0.001000,706.7,620.73,32.49,13.86,0.7473,95.43,0.1973,0.1151,0.4714,0.2163,1.2435
440,5.376391,0.0344,0.001000,723.3,615.28,31.88,14.05,0.7958,124.34,0.1742,0.0976,0.5622,0.1660,1.1377
450,5.121242,0.1208,0.001000,739.9,612.49,32.42,13.89,0.7636,139.49,0.0911,0.0483,0.7506,0.1100,0.8050
460,5.673017,0.0027,0.001000,756.4,616.63,32.39,14.20,0.7781,121.94,0.0297,0.0209,0.8508,0.0985,0.5392
470,4.403377,0.2418,0.001000,772.7,619.82,32.89,13.51,0.7646,127.82,0.0297,0.0187,0.8385,0.1130,0.5619
480,4.831832,0.1407,0.001000,790.0,618.60,33.26,13.33,0.7508,146.72,0.0267,0.0144,0.8860,0.0729,0.4469
490,4.845342,0.1543,0.001000,806.3,617.87,33.08,13.81,0.7537,134.90,0.0175,0.0105,0.9283,0.0436,0.3178
500,5.433943,0.0245,0.001000,822.5,616.67,33.03,13.40,0.7433,182.67,0.0219,0.0107,0.9215,0.0458,0.3335
